Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.72041,0,0,0,0,0,0,0,0,0.453549,0,0,0,-0.938334,1.20263,-0.545737,0.0861372,1.4156,0,0,0,0.92374,-1.21397,0.560052,-0.0896094,0,0,0,0,0,0,0,0
1.40258,0,0,0,0,0,0,0,0,0.0507996,-0.150601,0.124338,-0.0293512,0.50375,-0.859933,0.498673,-0.0989801,1.73595,0.021129,-0.178553,-0.0133232,-1.22632,2.18639,-1.30073,0.263388,0,0,0,0,0,0,0,0
1.81632,0,0,0,0,0,0,0,0,0.0245595,-0.0891058,-0.115054,-0.00813498,-0.547965,0.793466,-0.374445,0.0595299,1.40919,-0.111903,0.133126,0.0144,0.726354,-0.978622,0.443622,-0.0687034,0,0,0,0,0,0,0,0
1.15497,0,0,0,0,0,0,0,0,-0.406359,0.00705955,0.122538,-0.0103208,0.318101,-0.898873,0.726644,-0.190691,1.73908,0.0188837,-0.148713,0.000226935,-0.659912,1.29096,-0.86083,0.198733,0,0,0,0,0,0,0,0
1.17625,0,0,0,0,0,0,0,0,-0.329924,0.00363556,-0.0507447,-0.017067,-1.96072,3.7055,-2.47894,0.57721,1.54327,-0.217555,0.060184,0.0243253,0.743292,-1.26851,0.772049,-0.165482,0,0,0,0,0,0,0,0
0.824838,0,0,0,0,0,0,0,0,-0.600749,-0.27278,0.0297594,0.0127319,0.241167,0.661907,-1.46473,0.68724,1.50608,0.084651,0.0161199,0.0126939,1.29683,-3.88371,3.95109,-1.37075,0,0,0,0,0,0,0,0
1.03404,0,0,0,0,0,0,0,0,-0.716767,0.0351587,0.100459,0.00608261,1.64357,-3.57623,2.72374,-0.719135,1.5997,0.0891058,-0.0104158,0.0064852,-0.170864,-0.009567,0.187335,-0.0833952,0,0,0,0,0,0,0,0
1.07832,0,0,0,0,0,0,0,0,-0.494434,0.254389,-0.0201091,0.019187,0.240511,-1.10035,1.0831,-0.325931,1.6048,-0.106792,-0.0499771,0.00294795,-1.08596,2.46388,-1.90498,0.503204,0,0,0,0,0,0,0,0
1.50767,0,0,0,0,0,0,0,0,-0.348285,-0.066737,-0.089787,-0.000940114,-0.75929,1.12719,-0.585927,0.105598,1.41735,-0.120713,0.0486542,0.00983058,0.690413,-1.05135,0.559286,-0.102828,0,0,0,0,0,0,0,0
1.0071,0,0,0,0,0,0,0,0,-0.810315,-0.336722,0.0433089,-0.0217772,-0.0152419,0.92467,-1.1712,0.406807,1.50478,0.0833929,0.00369099,0.0139919,1.32184,-3.35674,2.85786,-0.824237,0,0,0,0,0,0,0,0
1.14376,0,0,0,0,0,0,0,0,-0.979983,0.0689519,0.108159,0.0158307,1.70181,-3.88215,2.91048,-0.736615,1.60467,0.0134349,-0.0313842,-8.73475e-06,-1.60589,3.10302,-2.13151,0.510079,0,0,0,0,0,0,0,0
0.544044,0,0,0,0,0,0,0,0,-0.792674,-0.0171592,-0.132178,-0.0091588,-6.05345,27.0931,-41.5685,21.8106,1.43865,-0.157263,0.0429365,0.0130925,1.84939,-5.2569,5.54451,-2.06503,0,0,0,0,0,0,0,0
1.69781,0,0,0,0,0,0,0,0,-0.851812,-0.12907,-0.0647777,0.0108127,-1.15599,1.71018,-0.857227,0.145901,1.39401,0.000345432,0.102687,0.00272508,0.490209,-0.764635,0.39017,-0.0670193,0,0,0,0,0,0,0,0
1.28011,0,0,0,0,0,0,0,0,-1.28274,0.068177,0.0754639,-0.0178725,1.82988,-3.62409,2.42708,-0.551183,1.61001,-0.00927641,-0.051712,-0.00965889,-1.41182,2.71084,-1.77624,0.397078,0,0,0,0,0,0,0,0
0.51015,0,0,0,0,0,0,0,0,-1.07801,-0.0506017,-0.0509875,-0.0126715,-14.9271,72.3161,-119.559,67.3899,1.44105,-0.0422353,0.0132192,-0.017736,-10.9324,50.2619,-81.102,45.0825,0,0,0,0,0,0,0,0
1.56718,0,0,0,0,0,0,0,0,-1.13255,-0.0209447,0.0643899,0.0158628,-1.44891,1.92382,-0.928682,0.159326,1.39263,-0.0781186,-0.0380828,-0.000365732,0.929949,-1.19311,0.558904,-0.0938402,0,0,0,0,0,0,0,0
0.201968,0,0,0,0,0,0,0,0,-1.55885,-0.138378,0.436954,0.329739,-11.4161,143.896,-733.672,1220.59,1.60734,0.101942,-0.317853,-0.261138,7.43709,-94.8027,496.106,-838.289,0,0,0,0,0,0,0,0
