Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.22365,-0.1,0,0,0,0.228133,-0.122026,0.0242605,-0.0017365,-0.6,0,0,0,-0.0184202,0.0153327,-0.00406257,0.000362298,0.2,0,0,0,0.0125401,-0.00848778,0.00210398,-0.000182594,0,0,0,0,0,0,0,0
3.15877,3,1.71399,-0.0499511,-0.0481088,-0.0752522,0.0459166,-0.00900061,0.000603473,-0.5,0.171059,0.0556803,0.00330924,0.340233,-0.256641,0.0670828,-0.00602404,0.3,0.0576373,0.0118039,-0.000833958,0.0424768,-0.0338245,0.00910577,-0.000832013,0,0,0,0,0,0,0,0
2.89491,6.3,0.54119,0.00511348,0.0117873,0.334826,-0.266787,0.0742941,-0.00715837,1.6,0.450745,-0.0361895,-0.00997807,-0.0932845,0.0472894,-0.00847561,0.000508241,0.6,0.0209154,-0.0103287,0.00161682,0.0639497,-0.0491808,0.0136978,-0.00133083,0,0,0,0,0,0,0,0
3.30513,9,0.812127,-0.076866,-0.0168461,-0.127353,0.0801019,-0.0185411,0.00151743,1.3,-0.701385,-0.0996591,0.00973867,-0.50136,0.369112,-0.0934943,0.00809551,0.9,0.164012,0.0359846,-0.00444365,0.0395391,-0.0363124,0.010162,-0.000932569,0,0,0,0,0,0,0,0
3.73701,9,-0.876811,-0.29021,-0.00105984,0.0587348,-0.0365446,0.00832862,-0.000650372,-3,-0.591222,0.102704,0.00255438,-0.0263775,0.0172583,-0.00410113,0.000331871,1.3,-0.16159,-0.0615175,-0.00548208,-0.0621874,0.0440471,-0.00998174,0.000762539,0,0,0,0,0,0,0,0
4.20631,2.5,-2.4443,-0.0419701,0.0270723,-0.00988544,0.0116673,-0.00292812,0.000221433,-4,-0.000462124,0.00977079,0.00315256,-0.0741792,0.0523419,-0.0113808,0.000812494,0.1,0.00786324,0.123757,0.00271788,0.0395998,-0.0230572,0.00442173,-0.000289788,0,0,0,0,0,0,0,0
3.58515,-5.3,-0.58999,0.306898,-0.00717731,0.0502947,-0.0375605,0.00912007,-0.000739145,-2,1.67948,0.155511,-0.0217107,-0.00576161,-0.00828288,0.0028738,-0.00025801,2.3,0.590947,-0.0480907,-0.00407848,-0.0508615,0.0290011,-0.00598793,0.000437164,0,0,0,0,0,0,0,0
7.02171,-4,1.00171,0.20711,0.0176343,-0.00283108,-0.00141801,0.000236651,-1.02514e-05,3.3,0.431099,-0.426735,-0.0122845,0.0140681,-0.00198642,0.000168338,-6.53783e-06,3,-0.111718,-0.0516182,0.00333319,-0.00664504,0.00223832,-0.000257101,1.00257e-05,0,0,0,0,0,0,0,0
3.53759,8,0.998604,-0.213559,0.00533739,0.115124,-0.0865637,0.0215363,-0.00179953,-4,-0.286147,0.393924,0.012771,-0.0328806,0.0171892,-0.00442508,0.000406164,0.5,-0.259389,0.0207781,-0.00687604,0.00900354,0.000385268,-0.000762791,9.13672e-05,0,0,0,0,0,0,0,0
3.31901,8.9,-0.80829,-0.179335,0.00603694,0.0889313,-0.062818,0.0157759,-0.00136188,-1,1.48062,0.000633351,0.00695078,0.0813444,-0.093781,0.0280242,-0.00264541,0.3,0.243402,0.0654989,-0.00582561,0.114592,-0.0894664,0.0232146,-0.00203326,0,0,0,0,0,0,0,0
3.58642,5,-1.52809,-0.0115585,0.0184433,-0.0575893,0.0494563,-0.0131597,0.00113537,2,-0.322155,-0.205692,0.0128072,-0.187911,0.115392,-0.0248501,0.00186217,1.5,0.034561,-0.0701857,-0.000333149,-0.0738097,0.048282,-0.0108109,0.000833726,0,0,0,0,0,0,0,0
3.01794,0.7,-0.552116,0.0461291,-0.0132872,-0.655564,0.500324,-0.135026,0.0126105,-2.5,-1.25239,0.195124,0.0154472,-0.0360759,0.0410288,-0.0141721,0.00153784,0.5,-0.230083,0.0624016,0.00459708,-0.0364329,0.0261757,-0.00708983,0.000669023,0,0,0,0,0,0,0,0
4.18594,-3.3,-1.32279,-0.0906325,0.0262297,-0.0833748,0.0594706,-0.0128215,0.000903436,-4,0.243829,0.091547,-0.0092338,0.0811252,-0.0462593,0.00917862,-0.000625307,0.2,0.0120335,0.00331895,-0.00628409,0.016226,-0.00837095,0.00160834,-0.000107623,0,0,0,0,0,0,0,0
5.92215,-6.3,1.28436,0.428017,-0.0493444,0.0892327,-0.0424727,0.00658339,-0.000337179,-1.3,0.541759,-0.03058,-0.0115624,0.00988873,-0.00355306,0.000514423,-2.58641e-05,0.3,-0.031212,-0.00714236,0.00145784,-0.00163359,0.000726061,-0.000111253,5.68497e-06,0,0,0,0,0,0,0,0
