Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.22365,-0.1,0,0,0,0.228068,-0.121975,0.0242472,-0.00173532,-0.6,0,0,0,-0.0184439,0.015351,-0.00406734,0.00036272,0.2,0,0,0,0.0154914,-0.0107064,0.00266336,-0.000230721,0,0,0,0,0,0,0,0
3.15877,3,1.71419,-0.0499051,-0.0481155,-0.206388,0.153831,-0.0387804,0.0033761,-0.5,0.171138,0.0557031,0.00330681,0.340256,-0.256667,0.0670907,-0.00602481,0.3,0.0454841,0.00686955,-0.00045903,0.0304032,-0.0225842,0.005858,-0.000523137,0,0,0,0,0,0,0,0
2.89491,6.3,0.816526,0.00526361,0.0118129,0.108758,-0.0912617,0.0258221,-0.00250968,1.6,0.450485,-0.0362438,-0.00996872,-0.0933981,0.0474189,-0.00851822,0.000512759,0.6,0.0816372,-0.00207375,1.78926e-05,0.0527277,-0.0446369,0.0130186,-0.00129684,0,0,0,0,0,0,0,0
3.30892,9,0.810735,-0.0764499,-0.0168931,-0.106166,0.0635503,-0.0141919,0.00113114,1.3,-0.700621,-0.0995141,0.00972028,-0.499096,0.367034,-0.092863,0.00803171,0.9,0.0503991,-0.00198217,-0.00121174,-0.000534968,-0.00137963,0.000615334,-6.84828e-05,0,0,0,0,0,0,0,0
3.73139,9,-0.927976,-0.292198,-0.00123518,0.0696292,-0.0421184,0.00938702,-0.000722145,-3,-0.590257,0.102478,0.00250697,-0.0266621,0.0174674,-0.00415218,0.00033621,0.9,-0.0716934,-0.0129648,-0.000825464,-0.008401,0.00716966,-0.00170568,0.000132764,0,0,0,0,0,0,0,0
4.18196,2.5,-2.41828,-0.0446584,0.0277038,-0.00370342,0.00684392,-0.00179212,0.000135583,-4,0.000694124,0.0113038,0.00340709,-0.0685053,0.0491033,-0.010775,0.000774811,0.7,0.10623,0.0577142,0.000532759,0.0242242,-0.0133648,0.00251338,-0.000163224,0,0,0,0,0,0,0,0
3.60489,-5.3,-0.632301,0.339638,-0.00732448,0.035004,-0.0287605,0.00717175,-0.000585584,-2,1.64465,0.156175,-0.0217406,0.00692257,-0.0160595,0.00456705,-0.000386157,2.3,0.442284,-0.0216459,-0.00246732,-0.0330471,0.0185649,-0.00386118,0.000285047,0,0,0,0,0,0,0,0
7.17504,-4,1.00559,0.197208,0.0181462,-0.00466057,-0.000711743,0.000148318,-6.55848e-06,3.3,0.409725,-0.430257,-0.0123343,0.0190208,-0.00365158,0.000360165,-1.40425e-05,3,-0.0513587,-0.0648063,0.00074124,-0.00518852,0.00194774,-0.000229325,9.02293e-06,0,0,0,0,0,0,0,0
3.50468,8,0.978914,-0.203546,0.00531246,0.110807,-0.0848207,0.0213652,-0.00180455,-4.1,-0.273281,0.401871,0.0118432,-0.032903,0.017395,-0.00444304,0.000402139,0.4,-0.269894,0.0294869,-0.00263479,0.0163759,-0.00568746,0.000706685,-2.70683e-05,0,0,0,0,0,0,0,0
3.32485,8.9,-0.78329,-0.181963,0.00595595,0.0662962,-0.0455128,0.0112558,-0.000961357,-1,1.55712,0.000164751,-0.0146091,0.0801153,-0.0883157,0.0264064,-0.00249841,0.3,0.260007,0.0590163,-0.00615722,0.112913,-0.0878219,0.0227464,-0.00198917,0,0,0,0,0,0,0,0
3.58642,5,-1.50926,-0.0237266,0.0186044,-0.056746,0.0495774,-0.0132618,0.00114682,2,-0.361379,-0.205083,0.0131354,-0.192415,0.121195,-0.0266934,0.00203806,1.5,0.0295917,-0.0691005,-5.672e-05,-0.0783058,0.0517717,-0.0117193,0.000912025,0,0,0,0,0,0,0,0
3.01794,0.7,-0.551385,0.0460077,-0.013324,-0.655717,0.500437,-0.135054,0.012613,-2.5,-1.24787,0.145671,0.0153696,-0.000103241,0.0208204,-0.00982531,0.00120007,0.5,-0.227392,0.0504099,0.00446119,-0.0243051,0.0182391,-0.00513874,0.000498678,0,0,0,0,0,0,0,0
4.18594,-3.3,-1.3231,-0.0905798,0.0262455,-0.0833657,0.0594641,-0.0128203,0.00090336,-4,0.263987,0.085553,-0.00666118,0.069327,-0.0390174,0.00759516,-0.000506936,0.2,0.0100088,0.00351291,-0.00485958,0.0150172,-0.00793859,0.00153697,-0.000103181,0,0,0,0,0,0,0,0
5.92215,-6.3,1.28449,0.427993,-0.0493493,0.0892302,-0.0424711,0.00658313,-0.000337166,-1.3,0.550175,-0.0306275,0.0115824,-0.00654083,0.000709817,2.7675e-05,-5.12291e-06,0.3,-0.0307318,-0.00782635,0.00143958,-0.00147248,0.000674644,-0.000104934,5.40587e-06,0,0,0,0,0,0,0,0
