id,type,readonly,group,name
0,9,1,cpu,flash
1,10,1,cpu,id0
2,10,1,cpu,id1
3,10,1,cpu,id2
4,0,0,system,selftestPassed
5,8,0,commander,enHighLevel
6,8,0,flightmode,althold
7,8,0,flightmode,poshold
8,8,0,flightmode,posSet
9,8,0,flightmode,yawMode
10,8,0,flightmode,yawRst
11,8,0,flightmode,stabModeRoll
12,8,0,flightmode,stabModePitch
13,8,0,flightmode,stabModeYaw
14,6,0,cmdrCPPM,rateRoll
15,6,0,cmdrCPPM,ratePitch
16,6,0,cmdrCPPM,rateYaw
17,6,0,cmdrCPPM,angRoll
18,6,0,cmdrCPPM,angPitch
19,8,0,locSrv,enRangeStreamFP32
20,6,0,locSrv,extPosStdDev
21,6,0,pid_rate,roll_kp
22,6,0,pid_rate,roll_ki
23,6,0,pid_rate,roll_kd
24,6,0,pid_rate,pitch_kp
25,6,0,pid_rate,pitch_ki
26,6,0,pid_rate,pitch_kd
27,6,0,pid_rate,yaw_kp
28,6,0,pid_rate,yaw_ki
29,6,0,pid_rate,yaw_kd
30,6,0,pid_attitude,roll_kp
31,6,0,pid_attitude,roll_ki
32,6,0,pid_attitude,roll_kd
33,6,0,pid_attitude,pitch_kp
34,6,0,pid_attitude,pitch_ki
35,6,0,pid_attitude,pitch_kd
36,6,0,pid_attitude,yaw_kp
37,6,0,pid_attitude,yaw_ki
38,6,0,pid_attitude,yaw_kd
39,6,0,sensorfusion6,kp
40,6,0,sensorfusion6,ki
41,6,0,sensorfusion6,baseZacc
42,8,0,stabilizer,estimator
43,8,0,stabilizer,controller
44,6,0,posEst,estAlphaAsl
45,6,0,posEst,estAlphaZr
46,6,0,posEst,velFactor
47,6,0,posEst,velZAlpha
48,6,0,posEst,vAccDeadband
49,6,0,velCtlPid,vxKp
50,6,0,velCtlPid,vxKi
51,6,0,velCtlPid,vxKd
52,6,0,velCtlPid,vyKp
53,6,0,velCtlPid,vyKi
54,6,0,velCtlPid,vyKd
55,6,0,velCtlPid,vzKp
56,6,0,velCtlPid,vzKi
57,6,0,velCtlPid,vzKd
58,6,0,posCtlPid,xKp
59,6,0,posCtlPid,xKi
60,6,0,posCtlPid,xKd
61,6,0,posCtlPid,yKp
62,6,0,posCtlPid,yKi
63,6,0,posCtlPid,yKd
64,6,0,posCtlPid,zKp
65,6,0,posCtlPid,zKi
66,6,0,posCtlPid,zKd
67,9,0,posCtlPid,thrustBase
68,9,0,posCtlPid,thrustMin
69,6,0,posCtlPid,rpLimit
70,6,0,posCtlPid,xyVelMax
71,6,0,posCtlPid,zVelMax
72,8,0,controller,tiltComp
73,6,0,ctrlMel,kp_xy
74,6,0,ctrlMel,kd_xy
75,6,0,ctrlMel,ki_xy
76,6,0,ctrlMel,i_range_xy
77,6,0,ctrlMel,kp_z
78,6,0,ctrlMel,kd_z
79,6,0,ctrlMel,ki_z
80,6,0,ctrlMel,i_range_z
81,6,0,ctrlMel,mass
82,6,0,ctrlMel,massThrust
83,6,0,ctrlMel,kR_xy
84,6,0,ctrlMel,kR_z
85,6,0,ctrlMel,kw_xy
86,6,0,ctrlMel,kw_z
87,6,0,ctrlMel,ki_m_xy
88,6,0,ctrlMel,ki_m_z
89,6,0,ctrlMel,kd_omega_rp
90,6,0,ctrlMel,i_range_m_xy
91,6,0,ctrlMel,i_range_m_z
92,8,0,motorPowerSet,enable
93,9,0,motorPowerSet,m1
94,9,0,motorPowerSet,m2
95,9,0,motorPowerSet,m3
96,9,0,motorPowerSet,m4
97,8,0,kalmanUSC,rstWithExtPos
98,6,0,ekf,ext_var_xy
99,6,0,ekf,ext_var_vel
100,6,0,ekf,ext_var_q
101,6,0,ekf,gyro_var_xyz
102,6,0,ekf,acc_var_xyz
103,10,1,firmware,revision0
104,9,1,firmware,revision1
105,8,1,firmware,modified
106,8,1,imu_tests,MPU6500
107,8,1,imu_tests,HMC5883L
108,8,1,imu_tests,MS5611
109,8,1,imu_sensors,HMC5883L
110,8,1,imu_sensors,MS5611
111,8,0,sound,effect
112,10,1,sound,neffect
113,9,0,sound,freq
114,8,0,sound,ratio
115,8,0,system,taskDump
116,8,0,kalman,resetEstimation
117,8,0,kalman,quadIsFlying
118,6,0,kalman,pNAcc_xy
119,6,0,kalman,pNAcc_z
120,6,0,kalman,pNVel
121,6,0,kalman,pNPos
122,6,0,kalman,pNAtt
123,6,0,kalman,pNSkew
124,6,0,kalman,mNBaro
125,6,0,kalman,mNGyro_rollpitch
126,6,0,kalman,mNGyro_yaw
127,6,0,kalman,initialX
128,6,0,kalman,initialY
129,6,0,kalman,initialZ
130,8,1,deck,bcLedRing
131,8,0,ring,effect
132,10,1,ring,neffect
133,8,0,ring,solidRed
134,8,0,ring,solidGreen
135,8,0,ring,solidBlue
136,8,0,ring,headlightEnable
137,6,0,ring,glowstep
138,6,0,ring,emptyCharge
139,6,0,ring,fullCharge
140,8,1,deck,bcBuzzer
141,8,1,deck,bcUSD
142,8,1,deck,bcZRanger
143,8,1,deck,bcZRanger2
144,8,0,loco,mode
145,8,1,deck,bcDWM1000
146,6,0,anchorpos,anchor0x
147,6,0,anchorpos,anchor0y
148,6,0,anchorpos,anchor0z
149,6,0,anchorpos,anchor1x
150,6,0,anchorpos,anchor1y
151,6,0,anchorpos,anchor1z
152,6,0,anchorpos,anchor2x
153,6,0,anchorpos,anchor2y
154,6,0,anchorpos,anchor2z
155,6,0,anchorpos,anchor3x
156,6,0,anchorpos,anchor3y
157,6,0,anchorpos,anchor3z
158,6,0,anchorpos,anchor4x
159,6,0,anchorpos,anchor4y
160,6,0,anchorpos,anchor4z
161,6,0,anchorpos,anchor5x
162,6,0,anchorpos,anchor5y
163,6,0,anchorpos,anchor5z
164,6,0,anchorpos,anchor6x
165,6,0,anchorpos,anchor6y
166,6,0,anchorpos,anchor6z
167,6,0,anchorpos,anchor7x
168,6,0,anchorpos,anchor7y
169,6,0,anchorpos,anchor7z
170,8,0,anchorpos,enable
171,8,0,tdoa3,logId
172,8,0,tdoa3,logOthrId
173,8,0,motion,disable
174,8,1,deck,bcFlow
175,8,1,deck,bcFlow2
176,8,1,deck,bcOA
177,8,1,deck,bcMultiranger
